10 30
0 2 580180
0 3 254896
0 4 266839
0 6 232744
3 0 590744
1 8 541627
1 3 382828
8 1 201136
4 1 308386
6 1 22650
2 8 333851
2 9 307008
2 6 962739
8 2 971503
0 2 580180
5 2 659760
7 2 692670
3 0 590744
3 5 27786
3 7 484317
0 3 254896
1 3 382828
4 3 162061
4 1 308386
4 3 162061
4 5 350028
4 7 778424
4 9 869126
8 4 389827
0 4 266839
5 4 776648
5 2 659760
5 4 776648
5 6 347192
3 5 27786
4 5 350028
6 1 22650
6 7 694329
0 6 232744
9 6 970952
2 6 962739
5 6 347192
7 8 226555
7 9 613738
7 2 692670
3 7 484317
4 7 778424
6 7 694329
8 1 201136
8 2 971503
8 4 389827
1 8 541627
2 8 333851
9 8 779153
7 8 226555
9 8 779153
9 6 970952
2 9 307008
4 9 869126
7 9 613738
