6 30
0 1 421573
0 2 672939
0 3 220069
0 4 674743
0 5 834241
1 0 41779
2 0 846500
3 0 470197
4 0 935879
5 0 878461
1 0 41779
1 2 648163
1 3 157767
1 4 944893
1 5 267122
0 1 421573
2 1 141261
3 1 58401
4 1 887543
5 1 173845
2 0 846500
2 1 141261
2 3 229742
2 4 1953
2 5 484653
0 2 672939
1 2 648163
3 2 73495
4 2 771542
5 2 150804
3 0 470197
3 1 58401
3 2 73495
3 4 74223
3 5 741178
0 3 220069
1 3 157767
2 3 229742
4 3 64634
5 3 896042
4 0 935879
4 1 887543
4 2 771542
4 3 64634
4 5 466441
0 4 674743
1 4 944893
2 4 1953
3 4 74223
5 4 480026
5 0 878461
5 1 173845
5 2 150804
5 3 896042
5 4 480026
0 5 834241
1 5 267122
2 5 484653
3 5 741178
4 5 466441
